drug	condition
DB00864	D016403
DB00864	D016400
DB00864	D000069293
DB00864	D008258
DB00864	D015477
DB00864	D054429
DB00864	D007943
DB00864	D015466
DB00864	D008230
DB00864	D015465
DB00864	D054391
DB00864	D064090
DB00864	D000740
DB00864	D000753
DB00864	D008232
DB00864	D054437
DB00864	D000095542
DB00864	D000754
DB00864	D006086
DB00864	D012008
DB00987	D002051
DB00987	D008223
DB00987	D054198
DB00987	D007945
DB00877	D002051
DB00877	D008223
DB00877	D054198
DB00877	D007945
DB00773	D002051
DB00773	D008223
DB00773	D007938
DB00773	D054198
DB00773	D007945
DB00112	D015179
DB00762	D015179
DB12023	D014657
DB12023	D015267
DB05679	D001167
DB05679	D013625
DB05679	D001015
DB06674	D013166
DB06674	D025241
DB06674	D000089183
DB05679	D013166
DB05679	D025241
DB05679	D000089183
DB05679	D003882
DB05679	D017285
DB01224	D003866
DB01224	D003863
DB01224	D003865
DB00051	D003424
DB09061	D009293
DB09061	D019966
DB11595	D008175
DB11595	D002289
DB00296	D050723
DB00296	D006620
DB00921	D009293
DB01267	D012008
DB01087	D008288
DB13928	D007674
DB13928	D051436
DB00422	D009369
DB00422	D009362
DB00422	D012008
DB01060	D006937
DB01012	D009362
DB01012	D006934
DB01048	D011565
DB06218	D005910
DB06218	D001932
DB06218	D012640
DB01202	D005910
DB01202	D001932
DB01202	D012640
DB01229	D009369
DB13809	D009369
DB00947	D009369
DB00476	D003863
DB00476	D003866
DB00476	D061218
DB00285	D003863
DB00285	D003866
DB00285	D061218
DB01104	D003863
DB01104	D003866
DB01104	D061218
DB01175	D061218
DB16216	D002289
DB06215	D010518
DB06215	D010485
DB06215	D009057
DB06215	D003788
DB00675	D001943
DB09073	D001943
DB01217	D001943
DB00990	D001943
DB01593	D011008
DB01593	D013789
DB01593	D017086
DB09322	D011008
DB09322	D013789
DB09322	D017086
DB00718	D006506
DB13868	D006506
DB00718	D006509
DB13868	D006509
DB00718	D019694
DB13868	D019694
DB00718	D006505
DB13868	D006505
DB04900	D006506
DB04900	D006509
DB04900	D019694
DB04900	D006505
DB00073	D007938
DB00073	D054198
DB00073	D007945
DB01399	D007938
DB01399	D007951
DB01399	D015470
DB01399	D015477
DB01399	D054429
DB01399	D009190
DB01399	D009196
DB00928	D007938
DB00928	D007951
DB00928	D015470
DB00928	D015477
DB00928	D054429
DB00928	D009190
DB00928	D009196
DB01262	D007938
DB01262	D007951
DB01262	D015470
DB01262	D015477
DB01262	D054429
DB01262	D009190
DB01262	D009196
DB11581	D007938
DB11581	D007951
DB11581	D015470
DB11581	D015477
DB11581	D054429
DB11581	D009190
DB11581	D009196
DB00316	D010003
DB00316	D020370
DB01018	D006948
DB01018	D001289
DB00289	D006948
DB00289	D001289
DB00422	D001930
DB00422	D000070642
DB00422	D040921
DB00422	D013313
DB00674	D001930
DB00674	D000070642
DB00674	D040921
DB00674	D013313
DB00107	D011218
DB00107	D013577
DB00091	D013789
DB00091	D017086
DB01024	D013789
DB01024	D017086
DB00688	D013789
DB00688	D017086
DB00531	D013789
DB00531	D017086
DB01008	D013789
DB01008	D017086
DB00563	D013789
DB00563	D017086
DB01073	D013789
DB01073	D017086
DB00864	D013789
DB00864	D017086
DB00002	D015179
DB11595	D001943
DB01395	D011293
DB01395	D003863
DB01395	D003866
DB00783	D011293
DB13952	D011293
DB13954	D011293
DB13956	D011293
DB15690	D011293
DB00783	D003863
DB13952	D003863
DB13954	D003863
DB13956	D003863
DB15690	D003863
DB00783	D003866
DB13952	D003866
DB13954	D003866
DB13956	D003866
DB15690	D003866
DB00958	D008223
DB00958	D016393
DB00958	D016403
DB00773	D016393
DB00773	D016403
DB01181	D008223
DB01181	D016393
DB01181	D016403
DB01179	D008223
DB01179	D016393
DB01179	D016403
DB09053	D008223
DB09053	D016393
DB09053	D016403
DB00987	D011289
DB00987	D009190
DB00987	D013577
DB01073	D007951
DB01073	D015470
DB00928	D011289
DB00928	D013577
DB01042	D007938
DB01042	D007951
DB01042	D015470
DB01042	D011289
